Inbound_Inter,Outbound_Inter,Inbound_Dom,Outbound_Dom,Total In,Total Out
5823.0,6165.0,2605.0,2020.0,8428.0,8185.0
3435.0,4570.0,1122.0,1297.0,4557.0,5867.0
5612.0,7175.0,2578.0,2265.0,8190.0,9440.0
5927.0,6780.0,2383.0,1966.0,8310.0,8746.0
6387.0,7698.0,2375.0,2222.0,8762.0,9920.0
5872.0,7138.0,1986.0,1820.0,7858.0,8958.0
6091.0,7325.0,1699.0,1716.0,7790.0,9041.0
6147.0,7195.0,1935.0,1648.0,8082.0,8843.0
6084.0,7876.0,2033.0,1806.0,8117.0,9682.0
6542.0,8400.0,2163.0,1927.0,8705.0,10327.0
6162.0,7912.0,2397.0,1965.0,8559.0,9877.0
6851.0,6960.0,2648.0,2240.0,9499.0,9200.0
5958.0,6883.0,2530.0,2483.0,8488.0,9366.0
4306.0,5070.0,1124.0,1397.0,5430.0,6467.0
6611.0,9302.0,2314.0,2480.0,8925.0,11782.0
5609.0,8212.0,2066.0,2136.0,7675.0,10348.0
6320.0,8054.0,2500.0,2123.0,8820.0,10177.0
6139.0,8761.0,2366.0,1882.0,8505.0,10643.0
6489.0,8108.0,2045.0,1883.0,8534.0,9991.0
5843.0,7438.0,2318.0,2030.0,8161.0,9468.0
5934.0,7776.0,2669.0,2320.0,8603.0,10096.0
6333.0,8505.0,2304.0,1754.0,8637.0,10259.0
6534.0,8015.0,2252.0,1715.0,8786.0,9730.0
6630.0,7436.0,3179.0,2290.0,9809.0,9726.0
4592.0,6958.0,2073.0,2266.0,6665.0,9224.0
6126.0,7410.0,1888.0,2641.0,8014.0,10051.0
7257.0,8347.0,2333.0,2419.0,9590.0,10766.0
3901.0,4626.0,1340.0,1197.0,5241.0,5823.0
4278.0,6670.0,2095.0,2093.0,6373.0,8763.0
4058.0,7932.0,2514.0,1962.0,6572.0,9894.0
4760.0,7155.0,2684.0,2150.0,7444.0,9305.0
5047.0,8327.0,2626.0,1690.0,7673.0,10017.0
5126.0,7739.0,2265.0,2339.0,7391.0,10078.0
5904.0,9425.0,2405.0,3040.0,8309.0,12465.0
5761.0,8450.0,2658.0,2685.0,8419.0,11135.0
6431.0,8208.0,3112.0,3148.0,9543.0,11356.0
6094.0,8341.0,2978.0,3493.0,9072.0,11834.0
3815.0,6292.0,1577.0,2684.0,5392.0,8976.0
6183.0,8868.0,2394.0,3500.0,8577.0,12368.0
5923.0,9227.0,1974.0,4104.0,7897.0,13331.0
6032.0,8842.0,2640.0,3378.0,8672.0,12220.0
5720.0,9155.0,2608.0,2134.0,8328.0,11289.0
5306.0,8487.0,2665.0,1635.0,7971.0,10122.0
3806.0,6919.0,867.0,873.0,4673.0,7792.0
3760.0,7781.0,595.0,1093.0,4355.0,8874.0
5163.0,12589.0,1105.0,1712.0,6268.0,14301.0
6070.0,15358.0,1968.0,2572.0,8038.0,17930.0
4264.0,10846.0,1831.0,2719.0,6095.0,13565.0
7972.0,15628.0,1637.0,2706.0,9609.0,18334.0
5323.0,9763.0,1009.0,1771.0,6332.0,11534.0
6985.0,10066.0,1484.0,2260.0,8469.0,12326.0
6345.0,9366.0,1174.0,2556.0,7519.0,11922.0
5941.0,8621.0,1501.0,2353.0,7442.0,10974.0
5783.0,7917.0,1730.0,2148.0,7513.0,10065.0
5696.0,7735.0,1677.0,2326.0,7373.0,10061.0
5517.0,7644.0,1762.0,1926.0,7279.0,9570.0
5437.0,7971.0,1526.0,1671.0,6963.0,9642.0
5412.0,7669.0,1712.0,1712.0,7124.0,9381.0
5212.0,6321.0,1838.0,1715.0,7050.0,8036.0
5546.0,6670.0,2116.0,2116.0,7662.0,8786.0
3632.0,5305.0,1627.0,2465.0,5259.0,7770.0
4338.0,5739.0,1921.0,2191.0,6259.0,7930.0
5152.0,6517.0,1958.0,2676.0,7110.0,9193.0
4260.0,6454.0,1918.0,2301.0,6178.0,8755.0
4297.0,7328.0,2184.0,2637.0,6481.0,9965.0
4233.0,6303.0,2068.0,2766.0,6301.0,9069.0
4679.0,6551.0,1991.0,2147.0,6670.0,8698.0
4275.0,7162.0,1814.0,1913.0,6089.0,9075.0
4570.0,7142.0,1882.0,2019.0,6452.0,9161.0
4844.0,8212.0,2260.0,1988.0,7104.0,10200.0
5055.0,7487.0,2071.0,2484.0,7126.0,9971.0
5582.0,7993.0,2928.0,2510.0,8510.0,10503.0
5582.0,7503.0,3111.0,2958.0,8693.0,10461.0
4670.0,6685.0,1990.0,1998.0,6660.0,8683.0
7958.0,10234.0,2890.0,2853.0,10848.0,13087.0
7105.0,9887.0,2780.0,3551.0,9885.0,13438.0
7316.0,10549.0,2782.0,3398.0,10098.0,13947.0
7288.0,10860.0,2437.0,2345.0,9725.0,13205.0
7617.0,9957.0,2410.0,2292.0,10027.0,12249.0
6950.0,9677.0,2348.0,2293.0,9298.0,11970.0
7429.0,10241.0,2110.0,2244.0,9539.0,12485.0
7697.0,11373.0,2320.0,2207.0,10017.0,13580.0
7867.0,11162.0,2985.0,2261.0,10852.0,13423.0
8535.0,10998.0,3168.0,2497.0,11703.0,13495.0
6124.0,9086.0,3034.0,2654.0,9158.0,11740.0
100.0,200.0,50.0,30.0,,
